invoice_number,invoice_date,po_number,supplier_id,supplier_name,material_code,line_item_description,quantity_invoiced,unit,unit_price_idr,line_total_idr,subtotal_idr,tax_percent,tax_amount_idr,total_invoice_idr,payment_terms,due_date,payment_status,payment_date,payment_method,payment_reference,discrepancy_flag,discrepancy_type,discrepancy_notes,validated_by,validation_date
INV-2024-279,2023-09-26,PO-2024-186,SUP-012,PT Brataco,EXC-001,Croscarmellose Sodium,1000,KG,129078,129078000,129078000,11,14198580,143276580,Net 45,2023-11-10,Paid,2023-11-05,Bank Transfer,TRF-2024-371,No,None,Perfect match with PO,Budi Finance,2023-09-27
INV-2024-280,2023-10-12,PO-2024-188,SUP-005,PT Phapros,RAW-005,Cetirizine HCl,10000,KG,3116809,31168090000,31168090000,11,3428489900,34596579900,Net 30,2023-11-11,Paid,2023-11-08,Bank Transfer,TRF-2024-123,No,None,Matched with PO,Budi Finance,2023-10-13
INV-2024-281,2023-10-01,PO-2024-189,SUP-006,PT Indo Packaging Solutions,PKG-003,HDPE Bottle 100ml,15000,Unit,2901,43515000,43515000,11,4786650,48301650,Net 30,2023-10-31,Paid,2023-10-30,Bank Transfer,TRF-2024-148,No,None,Matched with PO,Citra Finance,2023-10-02
INV-2024-282,2023-10-11,PO-2024-190,SUP-007,PT Multi Packaging Indonesia,PKG-003,HDPE Bottle 100ml,20000,Unit,2980,59600000,59600000,11,6556000,66156000,Net 45,2023-11-25,Paid,2023-11-24,Bank Transfer,TRF-2024-965,No,None,Perfect match with PO,Budi Finance,2023-10-12
INV-2024-283,2023-10-08,PO-2024-191,SUP-007,PT Multi Packaging Indonesia,PKG-002,Aluminum Foil Strip (Cold Form),25000,Roll,119311,2982775000,2982775000,11,328105250,3310880250,Net 45,2023-11-22,Paid,2023-11-21,Bank Transfer,TRF-2024-458,No,None,Matched with PO,Budi Finance,2023-10-09
INV-2024-284,2023-10-15,PO-2024-192,SUP-005,PT Phapros,RAW-001,Amoxicillin Trihydrate,2000,KG,152887,305774000,305774000,11,33635140,339409140,Net 30,2023-11-14,Paid,2023-11-09,Bank Transfer,TRF-2024-863,No,None,Perfect match with PO,Ani Finance,2023-10-16
INV-2024-285,2023-09-30,PO-2024-193,SUP-010,PT Pharma Excipient Supply,EXC-001,Lactose Monohydrate,3000,KG,21120,63360000,63360000,11,6969600,70329600,Net 60,2023-11-29,Paid,2023-11-24,Bank Transfer,TRF-2024-230,No,None,Perfect match with PO,Ani Finance,2023-10-01
INV-2024-286,2023-10-14,PO-2024-194,SUP-005,PT Phapros,RAW-003,Ascorbic Acid (Vitamin C),3000,KG,43142,129426000,129426000,11,14236860,143662860,Net 30,2023-11-13,Paid,2023-11-10,Bank Transfer,TRF-2024-214,No,None,Matched with PO,Budi Finance,2023-10-15
INV-2024-287,2023-10-01,PO-2024-195,SUP-012,PT Brataco,EXC-001,Povidone K30,5000,KG,60219,301095000,301095000,11,33120450,334215450,Net 45,2023-11-15,Paid,2023-11-12,Bank Transfer,TRF-2024-179,No,None,Matches PO exactly,Budi Finance,2023-10-02
INV-2024-288,2023-10-15,PO-2024-196,SUP-004,PT Kalbe Farma,RAW-004,Ibuprofen,5000,KG,202022,1010110000,1010110000,11,111112100,1121222100,Net 30,2023-11-14,Paid,2023-11-10,Bank Transfer,TRF-2024-638,No,None,Perfect match with PO,Citra Finance,2023-10-16
INV-2024-289,2023-09-29,PO-2024-197,SUP-010,PT Pharma Excipient Supply,EXC-001,Povidone K30,1000,KG,64519,64519000,64519000,11,7097090,71616090,Net 60,2023-11-28,Paid,2023-11-27,Bank Transfer,TRF-2024-730,No,None,Matches PO exactly,Ani Finance,2023-09-30
INV-2024-290,2023-09-30,PO-2024-198,SUP-010,PT Pharma Excipient Supply,EXC-001,Starch (Pregelatinized),5000,KG,17519,87595000,87595000,11,9635450,97230450,Net 60,2023-11-29,Paid,2023-11-26,Bank Transfer,TRF-2024-775,No,None,Perfect match with PO,Citra Finance,2023-10-01
INV-2024-291,2023-10-14,PO-2024-199,SUP-005,PT Phapros,RAW-007,Omeprazole,5000,KG,2061452,10307260000,10307260000,11,1133798600,11441058600,Net 30,2023-11-13,Paid,2023-11-10,Bank Transfer,TRF-2024-238,No,None,Perfect match with PO,Budi Finance,2023-10-15
INV-2024-292,2023-09-29,PO-2024-200,SUP-003,PT Dexa Medica,RAW-010,Dexamethasone,10000,KG,365229,3652290000,3652290000,11,401751900,4054041900,Net 45,2023-11-13,Paid,2023-11-10,Bank Transfer,TRF-2024-569,No,None,Perfect match with PO,Budi Finance,2023-09-30
INV-2024-293,2023-10-02,PO-2024-201,SUP-002,PT Indofarma Global Medika,RAW-008,Ciprofloxacin,2000,KG,434609,869218000,869218000,11,95613980,964831980,Net 60,2023-12-01,Paid,2023-11-30,Bank Transfer,TRF-2024-987,No,None,Matches PO exactly,Ani Finance,2023-10-03
INV-2024-294,2023-09-30,PO-2024-202,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,20000,Unit,879,17580000,17580000,11,1933800,19513800,Net 30,2023-10-30,Paid,2023-10-29,Bank Transfer,TRF-2024-113,No,None,Perfect match with PO,Citra Finance,2023-10-01
INV-2024-295,2023-10-13,PO-2024-203,SUP-004,PT Kalbe Farma,RAW-007,Omeprazole,3000,KG,1975557,5926671000,5926671000,11,651933810,6578604810,Net 30,2023-11-12,Paid,2023-11-09,Bank Transfer,TRF-2024-079,No,None,Matches PO exactly,Citra Finance,2023-10-14
INV-2024-296,2023-10-04,PO-2024-205,SUP-002,PT Indofarma Global Medika,RAW-009,Salbutamol Sulfate,5000,KG,960726,4803630000,4803630000,11,528399300,5332029300,Net 60,2023-12-03,Paid,2023-12-01,Bank Transfer,TRF-2024-005,No,None,Matched with PO,Ani Finance,2023-10-05
INV-2024-297,2023-10-08,PO-2024-206,SUP-001,PT Kimia Farma Trading & Distribution,RAW-009,Salbutamol Sulfate,8000,KG,916410,7331280000,7331280000,11,806440800,8137720800,Net 60,2023-12-07,Paid,2023-12-04,Bank Transfer,TRF-2024-435,No,None,Matched with PO,Citra Finance,2023-10-09
INV-2024-298,2023-10-07,PO-2024-207,SUP-001,PT Kimia Farma Trading & Distribution,RAW-004,Ibuprofen,2000,KG,195950,391900000,391900000,11,43109000,435009000,Net 60,2023-12-06,Paid,2023-12-01,Bank Transfer,TRF-2024-720,No,None,Matched with PO,Budi Finance,2023-10-08
INV-2024-299,2023-10-01,PO-2024-208,SUP-009,PT Prima Pack Indonesia,PKG-004,Glass Vial 10ml,30000,Unit,5172,155160000,155160000,11,17067600,172227600,Net 45,2023-11-15,Paid,2023-11-10,Bank Transfer,TRF-2024-416,No,None,Perfect match with PO,Ani Finance,2023-10-02
INV-2024-300,2023-10-19,PO-2024-209,SUP-005,PT Phapros,RAW-006,Metformin HCl,3000,KG,79052,237156000,237156000,11,26087160,263243160,Net 30,2023-11-18,Pending,,,,Yes,Price Variance,"Unit price higher than PO: Rp 79,052 vs Rp 75,985 (+4.04%)",,
INV-2024-301,2023-10-17,PO-2024-210,SUP-004,PT Kalbe Farma,RAW-008,Ciprofloxacin,10000,KG,454278,4542780000,4542780000,11,499705800,5042485800,Net 30,2023-11-16,Paid,2023-11-15,Bank Transfer,TRF-2024-314,No,None,Matches PO exactly,Budi Finance,2023-10-18
INV-2024-302,2023-10-02,PO-2024-211,SUP-002,PT Indofarma Global Medika,RAW-003,Ascorbic Acid (Vitamin C),8000,KG,44042,352336000,352336000,11,38756960,391092960,Net 60,2023-12-01,Paid,2023-11-28,Bank Transfer,TRF-2024-493,No,None,Matches PO exactly,Ani Finance,2023-10-03
INV-2024-303,2023-10-06,PO-2024-212,SUP-012,PT Brataco,EXC-001,Povidone K30,1000,KG,64951,64951000,64951000,11,7144610,72095610,Net 45,2023-11-20,Paid,2023-11-19,Bank Transfer,TRF-2024-539,No,None,Perfect match with PO,Budi Finance,2023-10-07
INV-2024-304,2023-10-02,PO-2024-213,SUP-002,PT Indofarma Global Medika,RAW-001,Amoxicillin Trihydrate,10000,KG,146644,1466440000,1466440000,11,161308400,1627748400,Net 60,2023-12-01,Paid,2023-11-27,Bank Transfer,TRF-2024-838,No,None,Matches PO exactly,Ani Finance,2023-10-03
INV-2024-305,2023-10-09,PO-2024-214,SUP-001,PT Kimia Farma Trading & Distribution,RAW-003,Ascorbic Acid (Vitamin C),10000,KG,45254,452540000,452540000,11,49779400,502319400,Net 60,2023-12-08,Paid,2023-12-06,Bank Transfer,TRF-2024-849,No,None,Matches PO exactly,Budi Finance,2023-10-10
INV-2024-306,2023-10-22,PO-2024-215,SUP-005,PT Phapros,RAW-006,Metformin HCl,2000,KG,73673,147346000,147346000,11,16208060,163554060,Net 30,2023-11-21,Paid,2023-11-17,Bank Transfer,TRF-2024-583,No,None,Perfect match with PO,Ani Finance,2023-10-23
INV-2024-307,2023-10-05,PO-2024-216,SUP-010,PT Pharma Excipient Supply,EXC-001,Talcum Powder,1000,KG,15502,15502000,15502000,11,1705220,17207220,Net 60,2023-12-04,Paid,2023-12-03,Bank Transfer,TRF-2024-667,No,None,Matches PO exactly,Ani Finance,2023-10-06
INV-2024-308,2023-10-22,PO-2024-217,SUP-004,PT Kalbe Farma,RAW-003,Ascorbic Acid (Vitamin C),10000,KG,46000,460000000,460000000,11,50600000,510600000,Net 30,2023-11-21,Paid,2023-11-19,Bank Transfer,TRF-2024-647,No,None,Perfect match with PO,Ani Finance,2023-10-23
INV-2024-309,2023-10-05,PO-2024-218,SUP-006,PT Indo Packaging Solutions,PKG-005,Corrugated Carton Box (Master),15000,Unit,3493,52395000,52395000,11,5763450,58158450,Net 30,2023-11-04,Paid,2023-11-01,Bank Transfer,TRF-2024-164,No,None,Matches PO exactly,Ani Finance,2023-10-06
INV-2024-310,2023-10-06,PO-2024-219,SUP-009,PT Prima Pack Indonesia,PKG-001,PVC/PVDC Blister Pack 10x10,20000,Unit,520,10400000,10400000,11,1144000,11544000,Net 45,2023-11-20,Paid,2023-11-17,Bank Transfer,TRF-2024-198,No,None,Matched with PO,Citra Finance,2023-10-07
INV-2024-311,2023-10-08,PO-2024-220,SUP-002,PT Indofarma Global Medika,RAW-006,Metformin HCl,3000,KG,71785,215355000,215355000,11,23689050,239044050,Net 60,2023-12-07,Paid,2023-12-04,Bank Transfer,TRF-2024-415,No,None,Matches PO exactly,Ani Finance,2023-10-09
INV-2024-312,2023-10-20,PO-2024-221,SUP-007,PT Multi Packaging Indonesia,PKG-006,Aluminum Screw Cap 28mm,20000,Unit,867,17340000,17340000,11,1907400,19247400,Net 45,2023-12-04,Paid,2023-11-29,Bank Transfer,TRF-2024-984,No,None,Matches PO exactly,Ani Finance,2023-10-21
INV-2024-313,2023-10-09,PO-2024-222,SUP-008,PT Global Pack Industries,PKG-008,Leaflet (Patient Information),15000,Unit,113,1695000,1695000,11,186450,1881450,Net 45,2023-11-23,Paid,2023-11-21,Bank Transfer,TRF-2024-525,No,None,Perfect match with PO,Citra Finance,2023-10-10
INV-2024-314,2023-10-11,PO-2024-224,SUP-001,PT Kimia Farma Trading & Distribution,RAW-009,Salbutamol Sulfate,2000,KG,951090,1902180000,1902180000,11,209239800,2111419800,Net 60,2023-12-10,Paid,2023-12-09,Bank Transfer,TRF-2024-640,No,None,Matches PO exactly,Budi Finance,2023-10-12
INV-2024-315,2023-10-11,PO-2024-225,SUP-012,PT Brataco,EXC-001,Magnesium Stearate,2000,KG,34967,69934000,69934000,11,7692740,77626740,Net 45,2023-11-25,Paid,2023-11-21,Bank Transfer,TRF-2024-067,No,None,Matched with PO,Ani Finance,2023-10-12
INV-2024-316,2023-10-08,PO-2024-226,SUP-009,PT Prima Pack Indonesia,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,907,9070000,9070000,11,997700,10067700,Net 45,2023-11-22,Paid,2023-11-20,Bank Transfer,TRF-2024-845,No,None,Perfect match with PO,Budi Finance,2023-10-09
INV-2024-317,2023-10-09,PO-2024-227,SUP-009,PT Prima Pack Indonesia,PKG-003,HDPE Bottle 100ml,15000,Unit,2913,43695000,43695000,11,4806450,48501450,Net 45,2023-11-23,Paid,2023-11-22,Bank Transfer,TRF-2024-284,No,None,Perfect match with PO,Citra Finance,2023-10-10
INV-2024-318,2023-10-10,PO-2024-228,SUP-012,PT Brataco,EXC-001,Povidone K30,5000,KG,63612,318060000,318060000,11,34986600,353046600,Net 45,2023-11-24,Paid,2023-11-23,Bank Transfer,TRF-2024-684,No,None,Matches PO exactly,Citra Finance,2023-10-11
INV-2024-319,2023-10-09,PO-2024-229,SUP-012,PT Brataco,EXC-001,Microcrystalline Cellulose (Avicel PH102),2000,KG,25159,50318000,50318000,11,5534980,55852980,Net 45,2023-11-23,Pending,,,,Yes,Price Variance,"Unit price higher than PO: Rp 25,159 vs Rp 24,261 (+3.70%)",,
INV-2024-320,2023-10-26,PO-2024-230,SUP-004,PT Kalbe Farma,RAW-008,Ciprofloxacin,5000,KG,448189,2240945000,2240945000,11,246503950,2487448950,Net 30,2023-11-25,Paid,2023-11-24,Bank Transfer,TRF-2024-364,No,None,Perfect match with PO,Citra Finance,2023-10-27
INV-2024-321,2023-10-10,PO-2024-231,SUP-009,PT Prima Pack Indonesia,PKG-006,Aluminum Screw Cap 28mm,30000,Unit,888,26640000,26640000,11,2930400,29570400,Net 45,2023-11-24,Paid,2023-11-20,Bank Transfer,TRF-2024-090,No,None,Matches PO exactly,Ani Finance,2023-10-11
INV-2024-322,2023-10-16,PO-2024-232,SUP-001,PT Kimia Farma Trading & Distribution,RAW-009,Salbutamol Sulfate,8000,KG,878341,7026728000,7026728000,11,772940080,7799668080,Net 60,2023-12-15,Paid,2023-12-10,Bank Transfer,TRF-2024-504,No,None,Matches PO exactly,Ani Finance,2023-10-17
INV-2024-323,2023-10-14,PO-2024-233,SUP-010,PT Pharma Excipient Supply,EXC-001,Microcrystalline Cellulose (Avicel PH102),5000,KG,24926,124630000,124630000,11,13709300,138339300,Net 60,2023-12-13,Paid,2023-12-10,Bank Transfer,TRF-2024-872,No,None,Matches PO exactly,Budi Finance,2023-10-15
INV-2024-324,2023-10-14,PO-2024-235,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,1000,KG,129905,129905000,129905000,11,14289550,144194550,Net 45,2023-11-28,Paid,2023-11-24,Bank Transfer,TRF-2024-641,No,None,Matched with PO,Ani Finance,2023-10-15
INV-2024-325,2023-10-13,PO-2024-236,SUP-010,PT Pharma Excipient Supply,EXC-001,Lactose Monohydrate,3000,KG,21879,65637000,65637000,11,7220070,72857070,Net 60,2023-12-12,Paid,2023-12-08,Bank Transfer,TRF-2024-011,No,None,Perfect match with PO,Ani Finance,2023-10-14
INV-2024-326,2023-10-14,PO-2024-237,SUP-003,PT Dexa Medica,RAW-010,Dexamethasone,8000,KG,354276,2834208000,2834208000,11,311762880,3145970880,Net 45,2023-11-28,Paid,2023-11-25,Bank Transfer,TRF-2024-330,No,None,Matches PO exactly,Budi Finance,2023-10-15
INV-2024-327,2023-10-30,PO-2024-239,SUP-004,PT Kalbe Farma,RAW-007,Omeprazole,5000,KG,1915572,9577860000,9577860000,11,1053564600,10631424600,Net 30,2023-11-29,Paid,2023-11-25,Bank Transfer,TRF-2024-438,No,None,Matched with PO,Citra Finance,2023-10-31
INV-2024-328,2023-10-28,PO-2024-240,SUP-004,PT Kalbe Farma,RAW-005,Cetirizine HCl,10000,KG,3091943,30919430000,30919430000,11,3401137300,34320567300,Net 30,2023-11-27,Paid,2023-11-25,Bank Transfer,TRF-2024-066,No,None,Matches PO exactly,Ani Finance,2023-10-29
INV-2024-329,2023-10-16,PO-2024-241,SUP-009,PT Prima Pack Indonesia,PKG-003,HDPE Bottle 100ml,30000,Unit,3149,94470000,94470000,11,10391700,104861700,Net 45,2023-11-30,Paid,2023-11-25,Bank Transfer,TRF-2024-573,No,None,Perfect match with PO,Citra Finance,2023-10-17
INV-2024-330,2023-10-15,PO-2024-242,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,1000,KG,135345,135345000,135345000,11,14887950,150232950,Net 45,2023-11-29,Paid,2023-11-27,Bank Transfer,TRF-2024-836,No,None,Matches PO exactly,Ani Finance,2023-10-16
INV-2024-331,2023-10-19,PO-2024-243,SUP-011,PT Chemical Works Indonesia,EXC-001,Microcrystalline Cellulose (Avicel PH102),3000,KG,24330,72990000,72990000,11,8028900,81018900,Net 45,2023-12-03,Paid,2023-11-29,Bank Transfer,TRF-2024-195,No,None,Matches PO exactly,Budi Finance,2023-10-20
INV-2024-332,2023-10-15,PO-2024-244,SUP-002,PT Indofarma Global Medika,RAW-001,Amoxicillin Trihydrate,3000,KG,152128,456384000,456384000,11,50202240,506586240,Net 60,2023-12-14,Paid,2023-12-09,Bank Transfer,TRF-2024-519,No,None,Matched with PO,Ani Finance,2023-10-16
INV-2024-333,2023-10-28,PO-2024-245,SUP-007,PT Multi Packaging Indonesia,PKG-008,Leaflet (Patient Information),10000,Unit,112,1120000,1120000,11,123200,1243200,Net 45,2023-12-12,Paid,2023-12-08,Bank Transfer,TRF-2024-287,No,None,Matches PO exactly,Budi Finance,2023-10-29
INV-2024-334,2023-10-16,PO-2024-246,SUP-002,PT Indofarma Global Medika,RAW-001,Amoxicillin Trihydrate,10000,KG,155224,1552240000,1552240000,11,170746400,1722986400,Net 60,2023-12-15,Paid,2023-12-11,Bank Transfer,TRF-2024-185,No,None,Perfect match with PO,Citra Finance,2023-10-17
INV-2024-335,2023-10-21,PO-2024-247,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,3000,KG,140439,421317000,421317000,11,46344870,467661870,Net 45,2023-12-05,Paid,2023-12-03,Bank Transfer,TRF-2024-958,No,None,Matches PO exactly,Budi Finance,2023-10-22
INV-2024-336,2023-11-04,PO-2024-248,SUP-004,PT Kalbe Farma,RAW-001,Amoxicillin Trihydrate,3000,KG,143107,429321000,429321000,11,47225310,476546310,Net 30,2023-12-04,Paid,2023-12-01,Bank Transfer,TRF-2024-337,No,None,Perfect match with PO,Citra Finance,2023-11-05
INV-2024-337,2023-11-02,PO-2024-249,SUP-005,PT Phapros,RAW-010,Dexamethasone,8000,KG,352061,2816488000,2816488000,11,309813680,3126301680,Net 30,2023-12-02,Paid,2023-12-01,Bank Transfer,TRF-2024-944,No,None,Perfect match with PO,Ani Finance,2023-11-03
INV-2024-338,2023-10-20,PO-2024-250,SUP-002,PT Indofarma Global Medika,RAW-008,Ciprofloxacin,9323,KG,466948,4353356204,4353356204,11,478869182,4832225386,Net 60,2023-12-19,Pending,,,,Yes,Quantity Variance,Invoiced 9323 KG but PO was 10000 KG (-677 KG short delivery),,
